"Num","time_unix","version","ihl","tos","len","id","flags","flags.value","frag","ttl","proto","chksum","src","dst","sport","dport","seq","ack","dataofs","reserved","flags","flags_value","window","chksum","urgptr"
"1","1433356821.8396","4","5","0","162","20629","DF","2","0","107","6","53743","205.188.12.91","10.8.8.178","443","48911","3987076374","2730303095","3","-2","PA","22","16382","49170","-2"
"2","1433356821.8397","4","5","0","40","52142","DF","2","0","64","6","33360","10.8.8.178","205.188.12.91","48911","443","2730303095","3987076496","3","-2","A","14","64678","24862","-2"
"3","1433356822.4791","4","5","0","338","21179","DF","2","0","107","6","53017","205.188.12.91","10.8.8.178","443","48911","3987076496","2730303095","3","-2","PA","22","16382","63067","-2"
"4","1433356822.4799","4","5","0","40","52143","DF","2","0","64","6","33359","10.8.8.178","205.188.12.91","48911","443","2730303095","3987076794","3","-2","A","14","64678","24564","-2"
"5","1433356822.681","4","5","0","162","21344","DF","2","0","107","6","53028","205.188.12.91","10.8.8.178","443","48911","3987076794","2730303095","3","-2","PA","22","16382","58478","-2"
"6","1433356822.6811","4","5","0","40","52144","DF","2","0","64","6","33358","10.8.8.178","205.188.12.91","48911","443","2730303095","3987076916","3","-2","A","14","64678","24442","-2"
"7","1433356827.5573","4","5","0","162","25142","DF","2","0","107","6","49230","205.188.12.91","10.8.8.178","443","48911","3987076916","2730303095","3","-2","PA","22","16382","21861","-2"
"8","1433356827.5581","4","5","0","40","52145","DF","2","0","64","6","33357","10.8.8.178","205.188.12.91","48911","443","2730303095","3987077038","3","-2","A","14","64678","24320","-2"
"9","1433356831.7755","4","5","0","41","9856","DF","2","0","113","6","12497","134.170.25.26","10.8.8.178","443","54269","3749416441","2978547233","3","-2","A","14","64929","1235","-2"
"10","1433356831.7756","4","5","0","64","14086","DF","2","0","64","6","20788","10.8.8.178","134.170.25.26","54269","443","2978547233","3749416442","9","-2","A","14","65398","19181","-2"
"11","1433356833.3918","4","5","0","476","29692","DF","2","0","107","6","44366","205.188.12.91","10.8.8.178","443","48911","3987077038","2730303095","3","-2","PA","22","16382","11486","-2"
"12","1433356833.3919","4","5","0","40","52146","DF","2","0","64","6","33356","10.8.8.178","205.188.12.91","48911","443","2730303095","3987077474","3","-2","A","14","64678","23884","-2"
"13","1433356841.909","4","5","0","162","36267","DF","2","0","107","6","38105","205.188.12.91","10.8.8.178","443","48911","3987077474","2730303095","3","-2","PA","22","16382","26702","-2"
"14","1433356841.9091","4","5","0","40","52147","DF","2","0","64","6","33355","10.8.8.178","205.188.12.91","48911","443","2730303095","3987077596","3","-2","A","14","64678","23762","-2"
"15","1433356846.7942","4","5","0","162","52148","DF","2","0","64","6","33232","10.8.8.178","205.188.12.91","48911","443","2730303095","3987077596","3","-2","PA","22","64678","61449","-2"
"16","1433356847.0015","4","5","0","40","40462","DF","2","0","107","6","34032","205.188.12.91","10.8.8.178","443","48911","3987077596","2730303217","3","-2","A","14","16382","6401","-2"
"17","1433356847.5773","4","5","0","210","52149","DF","2","0","64","6","33183","10.8.8.178","205.188.12.91","48911","443","2730303217","3987077596","3","-2","PA","22","64678","17757","-2"
"18","1433356847.7856","4","5","0","322","41070","DF","2","0","107","6","33142","205.188.12.91","10.8.8.178","443","48911","3987077596","2730303387","3","-2","PA","22","16382","43962","-2"
"19","1433356847.7857","4","5","0","162","52150","DF","2","0","64","6","33230","10.8.8.178","205.188.12.91","48911","443","2730303387","3987077878","3","-2","PA","22","64678","13800","-2"
"20","1433356847.7951","4","5","0","162","41078","DF","2","0","107","6","33294","205.188.12.91","10.8.8.178","443","48911","3987077878","2730303387","3","-2","PA","22","16382","65216","-2"
"21","1433356847.8339","4","5","0","40","52151","DF","2","0","64","6","33351","10.8.8.178","205.188.12.91","48911","443","2730303509","3987078000","3","-2","A","14","64678","22944","-2"
"22","1433356847.9912","4","5","0","40","41240","DF","2","0","107","6","33254","205.188.12.91","10.8.8.178","443","48911","3987078000","2730303509","3","-2","A","14","16382","5705","-2"
"23","1433356861.7895","4","5","0","386","52543","DF","2","0","107","6","21605","205.188.12.91","10.8.8.178","443","48911","3987078000","2730303509","3","-2","PA","22","16382","30830","-2"
"24","1433356861.7896","4","5","0","40","52152","DF","2","0","64","6","33350","10.8.8.178","205.188.12.91","48911","443","2730303509","3987078346","3","-2","A","14","64678","22598","-2"
"25","1433356861.9894","4","5","0","162","52734","DF","2","0","107","6","21638","205.188.12.91","10.8.8.178","443","48911","3987078346","2730303509","3","-2","PA","22","16382","31329","-2"
"26","1433356861.9895","4","5","0","40","52153","DF","2","0","64","6","33349","10.8.8.178","205.188.12.91","48911","443","2730303509","3987078468","3","-2","A","14","64678","22476","-2"
